scope,range,tag_kind,shared,cross_category,code_a,code_b,year,rows_overlap,approved_overcounted,executed_overcounted
primary,2006-2015,EXP_ECON,econ_sub:cross[Employment contracts|Social assistance],True,EXP_ECON_GOO_SER_EMP_CON_EXE,EXP_ECON_SOC_ASS_EXE,2008.0,1.0,12100.0,0.0
primary,2006-2015,EXP_ECON,econ_sub:cross[Recurrent maintenance|Social assistance],True,EXP_ECON_REC_MAI_EXE,EXP_ECON_SOC_ASS_EXE,2006.0,8.0,1177100.0,1183569.0799999998
primary,2006-2015,EXP_ECON,econ_sub:cross[Recurrent maintenance|Social assistance],True,EXP_ECON_REC_MAI_EXE,EXP_ECON_SOC_ASS_EXE,2007.0,7.0,1406700.0,1136465.98
primary,2006-2015,EXP_ECON,econ_sub:cross[Recurrent maintenance|Social assistance],True,EXP_ECON_REC_MAI_EXE,EXP_ECON_SOC_ASS_EXE,2008.0,7.0,1596820.0,1296613.9100000001
primary,2006-2015,EXP_ECON,econ_sub:cross[Recurrent maintenance|Social assistance],True,EXP_ECON_REC_MAI_EXE,EXP_ECON_SOC_ASS_EXE,2009.0,7.0,1477634.0,1456654.9633715814
primary,2006-2015,EXP_ECON,econ_sub:cross[Recurrent maintenance|Social assistance],True,EXP_ECON_REC_MAI_EXE,EXP_ECON_SOC_ASS_EXE,2010.0,6.0,1153510.0,1307715.551269531
primary,2006-2015,EXP_ECON,econ_sub:cross[Recurrent maintenance|Social assistance],True,EXP_ECON_REC_MAI_EXE,EXP_ECON_SOC_ASS_EXE,2011.0,8.0,0.0,1521003.1388168328
primary,2006-2015,EXP_ECON,econ_sub:cross[Recurrent maintenance|Social assistance],True,EXP_ECON_REC_MAI_EXE,EXP_ECON_SOC_ASS_EXE,2012.0,8.0,0.0,1903077.2321777262
primary,2006-2015,EXP_ECON,econ_sub:cross[Recurrent maintenance|Social assistance],True,EXP_ECON_REC_MAI_EXE,EXP_ECON_SOC_ASS_EXE,2013.0,7.0,0.0,2077998.8987426695
primary,2006-2015,EXP_ECON,econ_sub:cross[Recurrent maintenance|Social assistance],True,EXP_ECON_REC_MAI_EXE,EXP_ECON_SOC_ASS_EXE,2014.0,8.0,966250.0,2160479.740551147
